plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
210,0,4,0,0,raceblind
211,0,4,0,0,raceblind
212,0,4,0,0,raceblind
213,0,4,0,0,raceblind
214,0,4,0,0,raceblind
215,0,4,0,0,raceblind
216,0,4,0,0,raceblind
217,0,4,0,0,raceblind
218,0,4,0,0,raceblind
219,0,4,0,0,raceblind
220,0,4,0,0,raceblind
221,0,4,0,0,raceblind
222,0,4,0,0,raceblind
223,0,4,0,0,raceblind
224,0,4,0,0,raceblind
225,0,4,0,0,raceblind
226,0,4,0,0,raceblind
227,0,4,0,0,raceblind
228,0,4,0,0,raceblind
229,0,4,0,0,raceblind
230,0,4,0,0,raceblind
231,0,4,0,0,raceblind
232,0,4,0,0,raceblind
233,0,4,0,0,raceblind
234,0,4,0,0,raceblind
235,0,4,0,0,raceblind
236,0,4,0,0,raceblind
237,0,4,0,0,raceblind
238,0,4,0,0,raceblind
239,0,4,0,0,raceblind
240,0,4,0,0,raceblind
241,0,4,0,0,raceblind
242,0,4,0,0,raceblind
243,0,4,0,0,raceblind
244,0,4,0,0,raceblind
245,0,4,0,0,raceblind
246,0,4,0,0,raceblind
247,0,4,0,0,raceblind
248,0,4,0,0,raceblind
249,0,4,0,0,raceblind
