plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
639,6,8,5,2,VRA
640,6,8,5,2,VRA
641,6,8,5,2,VRA
642,6,8,5,2,VRA
643,6,8,5,2,VRA
644,6,8,5,2,VRA
645,6,8,5,2,VRA
646,6,8,5,2,VRA
647,6,8,5,2,VRA
648,5,9,5,2,VRA
649,5,9,5,2,VRA
650,5,9,5,2,VRA
651,6,8,5,2,VRA
652,6,8,5,2,VRA
653,6,8,5,2,VRA
654,6,8,5,2,VRA
655,6,8,5,3,VRA
656,6,8,5,3,VRA
657,6,8,5,2,VRA
658,6,8,5,2,VRA
659,6,8,5,1,VRA
660,6,8,5,1,VRA
661,6,8,5,2,VRA
662,6,8,5,2,VRA
663,6,8,5,2,VRA
664,6,8,5,2,VRA
665,6,8,5,3,VRA
666,6,8,5,2,VRA
667,6,8,6,1,VRA
668,6,8,6,1,VRA
669,6,8,5,1,VRA
670,6,8,5,1,VRA
671,6,8,5,1,VRA
672,6,8,5,1,VRA
673,6,8,5,1,VRA
674,6,8,5,1,VRA
675,6,8,5,1,VRA
676,6,8,5,1,VRA
677,6,8,5,1,VRA
678,6,8,5,1,VRA
679,6,8,5,1,VRA
680,6,8,5,1,VRA
681,6,8,5,1,VRA
682,6,8,5,1,VRA
683,5,9,5,1,VRA
684,5,9,5,1,VRA
685,5,9,5,2,VRA
686,6,8,5,2,VRA
687,6,8,5,2,VRA
688,6,8,5,2,VRA
689,6,8,5,2,VRA
690,6,8,5,2,VRA
691,6,8,5,2,VRA
692,6,8,5,2,VRA
693,6,8,5,2,VRA
694,6,8,5,2,VRA
695,6,8,5,2,VRA
696,6,8,5,2,VRA
697,6,8,5,2,VRA
698,6,8,5,2,VRA
699,6,8,5,1,VRA
700,6,8,5,1,VRA
701,6,8,5,1,VRA
702,6,8,5,1,VRA
703,6,8,5,1,VRA
704,6,8,5,1,VRA
705,6,8,5,1,VRA
706,6,8,5,2,VRA
707,6,8,5,2,VRA
708,6,8,5,2,VRA
709,6,8,5,2,VRA
710,6,8,5,2,VRA
711,6,8,5,2,VRA
712,6,8,5,2,VRA
