plan_id,black_pct,latino_pct
14,"0     0.271936
1     0.490866
2     0.238049
3     0.554063
4     0.501144
5     0.036113
6     0.163323
7     0.310124
8     0.144381
9     0.238065
10    0.531472
11    0.371616
12    0.522381
13    0.108679
dtype: float64","0     0.048127
1     0.037065
2     0.049949
3     0.082635
4     0.061661
5     0.078634
6     0.070990
7     0.053961
8     0.072658
9     0.045257
10    0.073473
11    0.040189
12    0.084328
13    0.091497
dtype: float64"
15,"0     0.271936
1     0.490866
2     0.238049
3     0.554063
4     0.373933
5     0.036113
6     0.163323
7     0.310124
8     0.144381
9     0.238065
10    0.661755
11    0.371616
12    0.522381
13    0.108679
dtype: float64","0     0.048127
1     0.037065
2     0.049949
3     0.082635
4     0.055640
5     0.078634
6     0.070990
7     0.053961
8     0.072658
9     0.045257
10    0.079579
11    0.040189
12    0.084328
13    0.091497
dtype: float64"
16,"0     0.271936
1     0.490866
2     0.238049
3     0.554063
4     0.373933
5     0.036113
6     0.163323
7     0.310124
8     0.144067
9     0.238065
10    0.654227
11    0.371616
12    0.522381
13    0.108679
dtype: float64","0     0.048127
1     0.037065
2     0.049949
3     0.082635
4     0.055640
5     0.078634
6     0.070990
7     0.053961
8     0.072758
9     0.045257
10    0.079376
11    0.040189
12    0.084328
13    0.091497
dtype: float64"
17,"0     0.265985
1     0.490866
2     0.238049
3     0.554063
4     0.373933
5     0.036113
6     0.163323
7     0.310124
8     0.144067
9     0.238065
10    0.654227
11    0.378884
12    0.522381
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.049949
3     0.082635
4     0.055640
5     0.078634
6     0.070990
7     0.053961
8     0.072758
9     0.045257
10    0.079376
11    0.039513
12    0.084328
13    0.091497
dtype: float64"
18,"0     0.265985
1     0.490866
2     0.238065
3     0.554063
4     0.373933
5     0.036113
6     0.163323
7     0.310124
8     0.144067
9     0.238049
10    0.654227
11    0.378884
12    0.522381
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045257
3     0.082635
4     0.055640
5     0.078634
6     0.070990
7     0.053961
8     0.072758
9     0.049949
10    0.079376
11    0.039513
12    0.084328
13    0.091497
dtype: float64"
19,"0     0.265985
1     0.490866
2     0.238065
3     0.554063
4     0.373933
5     0.100416
6     0.099264
7     0.310124
8     0.144067
9     0.238049
10    0.654227
11    0.378884
12    0.522381
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045257
3     0.082635
4     0.055640
5     0.077132
6     0.072747
7     0.053961
8     0.072758
9     0.049949
10    0.079376
11    0.039513
12    0.084328
13    0.091497
dtype: float64"
20,"0     0.265985
1     0.490866
2     0.238065
3     0.554063
4     0.373933
5     0.100416
6     0.099264
7     0.310124
8     0.144067
9     0.497930
10    0.654227
11    0.378884
12    0.276102
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045257
3     0.082635
4     0.055640
5     0.077132
6     0.072747
7     0.053961
8     0.072758
9     0.047709
10    0.079376
11    0.039513
12    0.085864
13    0.091497
dtype: float64"
21,"0     0.265985
1     0.490866
2     0.238065
3     0.554063
4     0.663526
5     0.100416
6     0.099264
7     0.310124
8     0.144067
9     0.497930
10    0.347389
11    0.378884
12    0.276102
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045257
3     0.082635
4     0.076808
5     0.077132
6     0.072747
7     0.053961
8     0.072758
9     0.047709
10    0.057102
11    0.039513
12    0.085864
13    0.091497
dtype: float64"
22,"0     0.265985
1     0.490866
2     0.238065
3     0.260462
4     0.663526
5     0.100416
6     0.099264
7     0.310124
8     0.144067
9     0.497930
10    0.347389
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045257
3     0.086667
4     0.076808
5     0.077132
6     0.072747
7     0.053961
8     0.072758
9     0.047709
10    0.057102
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
23,"0     0.265985
1     0.490866
2     0.263932
3     0.260462
4     0.663526
5     0.100416
6     0.099264
7     0.310124
8     0.144067
9     0.469308
10    0.347389
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045404
3     0.086667
4     0.076808
5     0.077132
6     0.072747
7     0.053961
8     0.072758
9     0.047527
10    0.057102
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
24,"0     0.265985
1     0.490866
2     0.263932
3     0.260462
4     0.663526
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.469308
10    0.359425
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.045404
3     0.086667
4     0.076808
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.047527
10    0.055741
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
25,"0     0.265985
1     0.490866
2     0.285559
3     0.260462
4     0.663526
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.446793
10    0.359425
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.042260
3     0.086667
4     0.076808
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.050234
10    0.055741
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
26,"0     0.265985
1     0.490866
2     0.661292
3     0.260462
4     0.302733
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.446793
10    0.359425
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.077025
3     0.086667
4     0.043383
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.050234
10    0.055741
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
27,"0     0.265985
1     0.490866
2     0.402763
3     0.260462
4     0.302733
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.446793
10    0.637329
11    0.378884
12    0.547112
13    0.108679
dtype: float64","0     0.048694
1     0.037065
2     0.065956
3     0.086667
4     0.043383
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.050234
10    0.067793
11    0.039513
12    0.082066
13    0.091497
dtype: float64"
28,"0     0.265985
1     0.490866
2     0.402763
3     0.117677
4     0.302733
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.446793
10    0.637329
11    0.378884
12    0.547112
13    0.264490
dtype: float64","0     0.048694
1     0.037065
2     0.065956
3     0.061312
4     0.043383
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.050234
10    0.067793
11    0.039513
12    0.082066
13    0.120415
dtype: float64"
29,"0     0.265985
1     0.490866
2     0.402763
3     0.117677
4     0.491293
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.268650
10    0.637329
11    0.378884
12    0.547112
13    0.264490
dtype: float64","0     0.048694
1     0.037065
2     0.065956
3     0.061312
4     0.047964
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.046012
10    0.067793
11    0.039513
12    0.082066
13    0.120415
dtype: float64"
30,"0     0.265985
1     0.490866
2     0.276920
3     0.117677
4     0.491293
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.396713
10    0.637329
11    0.378884
12    0.547112
13    0.264490
dtype: float64","0     0.048694
1     0.037065
2     0.046775
3     0.061312
4     0.047964
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.065555
10    0.067793
11    0.039513
12    0.082066
13    0.120415
dtype: float64"
