plan_id,democrat_wins,republican_wins,minority_effective,opportunity_districts,ensemble
0,5,9,5,4,vra
1,5,9,5,4,vra
2,5,9,5,4,vra
3,5,9,5,3,vra
4,5,9,5,3,vra
5,5,9,5,3,vra
6,5,9,5,3,vra
7,5,9,5,3,vra
8,5,9,5,2,vra
9,5,9,5,2,vra
10,5,9,5,2,vra
11,5,9,5,2,vra
12,5,9,5,2,vra
13,5,9,5,2,vra
14,5,9,5,2,vra
15,5,9,5,2,vra
16,5,9,5,2,vra
17,5,9,5,2,vra
18,5,9,5,2,vra
19,5,9,5,2,vra
20,5,9,5,2,vra
21,5,9,5,2,vra
22,5,9,5,2,vra
23,5,9,5,2,vra
24,5,9,5,2,vra
25,5,9,5,4,vra
26,5,9,5,4,vra
27,5,9,5,4,vra
28,5,9,5,4,vra
29,5,9,5,4,vra
30,5,9,5,4,vra
31,5,9,5,3,vra
32,6,8,6,3,vra
33,5,9,5,3,vra
34,5,9,5,3,vra
35,5,9,5,3,vra
36,5,9,5,2,vra
37,5,9,5,2,vra
38,5,9,5,2,vra
39,5,9,5,2,vra
40,5,9,5,2,vra
41,5,9,5,2,vra
42,5,9,5,2,vra
43,5,9,5,2,vra
44,5,9,5,2,vra
45,5,9,5,2,vra
46,5,9,5,2,vra
47,5,9,5,2,vra
48,5,9,5,2,vra
49,5,9,5,2,vra
50,5,9,5,4,vra
51,5,9,5,4,vra
52,5,9,5,3,vra
53,5,9,5,3,vra
54,5,9,5,3,vra
55,5,9,5,3,vra
56,5,9,5,3,vra
57,5,9,5,3,vra
58,5,9,5,3,vra
59,5,9,5,3,vra
60,5,9,5,3,vra
61,5,9,5,3,vra
62,5,9,5,3,vra
63,5,9,5,3,vra
64,5,9,5,3,vra
65,5,9,5,3,vra
66,5,9,5,3,vra
67,5,9,5,3,vra
68,5,9,5,3,vra
69,5,9,5,3,vra
70,5,9,5,3,vra
71,5,9,5,3,vra
72,5,9,5,3,vra
73,6,8,5,3,vra
74,7,7,5,3,vra
75,5,9,5,4,vra
76,5,9,5,4,vra
77,5,9,5,4,vra
78,5,9,5,4,vra
79,5,9,5,4,vra
80,5,9,5,4,vra
81,6,8,6,3,vra
82,6,8,6,2,vra
83,6,8,6,2,vra
84,6,8,6,2,vra
85,6,8,6,2,vra
86,6,8,6,2,vra
87,6,8,6,2,vra
88,5,9,5,2,vra
89,5,9,5,2,vra
90,5,9,5,2,vra
91,5,9,5,2,vra
92,5,9,5,2,vra
93,5,9,5,2,vra
94,5,9,5,2,vra
95,5,9,5,2,vra
96,5,9,5,2,vra
97,5,9,5,2,vra
98,5,9,5,2,vra
99,5,9,5,2,vra
100,5,9,5,4,vra
101,5,9,5,3,vra
102,5,9,5,3,vra
103,5,9,5,3,vra
104,5,9,5,3,vra
105,5,9,5,2,vra
106,5,9,5,2,vra
107,5,9,5,2,vra
108,5,9,5,2,vra
109,5,9,5,2,vra
110,5,9,5,2,vra
111,5,9,5,2,vra
112,5,9,5,2,vra
113,5,9,5,2,vra
114,5,9,5,2,vra
115,5,9,5,2,vra
116,5,9,5,2,vra
117,5,9,5,2,vra
118,5,9,5,2,vra
119,5,9,5,2,vra
120,5,9,5,3,vra
121,5,9,5,3,vra
122,5,9,5,3,vra
123,5,9,5,3,vra
124,5,9,5,3,vra
125,5,9,5,4,vra
126,5,9,5,4,vra
127,5,9,5,4,vra
128,5,9,5,4,vra
129,5,9,5,4,vra
130,5,9,5,4,vra
131,5,9,5,4,vra
132,5,9,5,4,vra
133,5,9,5,4,vra
134,5,9,5,4,vra
135,5,9,5,4,vra
136,5,9,5,4,vra
137,5,9,5,3,vra
138,5,9,5,3,vra
139,5,9,5,3,vra
140,5,9,5,3,vra
141,5,9,5,3,vra
142,5,9,5,2,vra
143,5,9,5,2,vra
144,5,9,5,2,vra
145,5,9,5,2,vra
146,5,9,5,2,vra
147,5,9,5,2,vra
148,5,9,5,2,vra
149,5,9,5,2,vra
150,5,9,5,4,vra
151,5,9,5,4,vra
152,5,9,5,4,vra
153,5,9,5,4,vra
154,5,9,5,4,vra
155,5,9,5,3,vra
156,5,9,5,3,vra
157,5,9,5,3,vra
158,5,9,5,3,vra
159,5,9,5,3,vra
160,5,9,5,3,vra
161,5,9,5,3,vra
162,5,9,5,3,vra
163,5,9,5,3,vra
164,5,9,5,3,vra
165,5,9,5,3,vra
166,6,8,6,2,vra
167,6,8,6,2,vra
168,6,8,6,2,vra
169,5,9,5,2,vra
170,5,9,5,2,vra
171,5,9,5,2,vra
172,5,9,5,2,vra
173,5,9,5,2,vra
174,5,9,5,2,vra
175,5,9,5,4,vra
176,5,9,5,4,vra
177,5,9,5,4,vra
178,5,9,5,4,vra
179,5,9,5,4,vra
180,5,9,5,4,vra
181,5,9,5,4,vra
182,5,9,5,4,vra
183,5,9,5,4,vra
184,5,9,5,3,vra
185,5,9,5,2,vra
186,5,9,5,2,vra
187,5,9,5,2,vra
188,5,9,5,2,vra
189,6,8,6,2,vra
190,6,8,6,2,vra
191,6,8,6,2,vra
192,6,8,6,2,vra
193,5,9,5,2,vra
194,5,9,5,2,vra
195,5,9,5,2,vra
196,5,9,5,2,vra
197,5,9,5,2,vra
198,5,9,5,2,vra
199,5,9,5,2,vra
200,5,9,5,4,vra
201,5,9,5,4,vra
202,5,9,5,4,vra
203,5,9,5,3,vra
204,5,9,5,2,vra
205,5,9,5,2,vra
206,5,9,5,2,vra
207,5,9,5,2,vra
208,5,9,5,2,vra
209,5,9,5,2,vra
210,5,9,5,2,vra
211,5,9,5,2,vra
212,5,9,5,2,vra
213,5,9,5,2,vra
214,5,9,5,2,vra
215,5,9,5,2,vra
216,5,9,5,2,vra
217,5,9,5,2,vra
218,5,9,5,2,vra
219,5,9,5,2,vra
220,5,9,5,2,vra
221,5,9,5,2,vra
222,5,9,5,2,vra
223,5,9,5,2,vra
224,5,9,5,2,vra
225,5,9,5,4,vra
226,5,9,5,4,vra
227,5,9,5,4,vra
228,5,9,5,4,vra
229,5,9,5,4,vra
230,5,9,5,4,vra
231,5,9,5,4,vra
232,5,9,5,4,vra
233,5,9,5,3,vra
234,5,9,5,3,vra
235,5,9,5,3,vra
236,5,9,5,3,vra
237,5,9,5,3,vra
238,5,9,5,3,vra
239,5,9,5,2,vra
240,5,9,5,2,vra
241,5,9,5,2,vra
242,5,9,5,2,vra
243,5,9,5,2,vra
244,5,9,5,2,vra
245,5,9,5,2,vra
246,6,8,5,2,vra
247,6,8,5,2,vra
248,6,8,5,2,vra
249,6,8,5,2,vra
