"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"7000000US1305107-14C","COASTAL CATHEDRAL, Chatham County, Georgia","10745","10000","4054","4847","41","512","23","523","745","701","113","77","85","2","306","37","21","3","41","0","0","8","8","0","0","36","8","1","2","6","2","0","6","7","3","0","0","0","1","0","0","0","0","0","0","0","8","2","0","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",
"7000000US1305107-15C","RICE CREEK SCHOOL, Chatham County, Georgia","1743","1610","914","556","6","32","1","101","133","128","38","18","10","1","37","5","4","3","9","0","0","0","0","2","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-01C","CIVIC CENTER, Chatham County, Georgia","5355","5219","2855","1322","33","643","2","364","136","129","35","14","18","0","50","2","3","0","7","0","0","0","0","0","0","7","1","0","1","1","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-02C","BULL STREE BAPTIST CHURCH, Chatham County, Georgia","2807","2646","1588","787","4","198","2","67","161","149","25","19","24","4","67","2","1","0","5","0","1","0","1","0","0","11","2","0","1","3","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-03C","SILK HOPE BAPTIST CHURCH, Chatham County, Georgia","1639","1496","860","258","17","14","2","345","143","137","18","25","7","0","77","2","1","2","4","0","0","0","0","1","0","6","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-05C","WEST BROAD STREET YMCA, Chatham County, Georgia","2529","2486","166","2291","9","7","0","13","43","35","14","4","2","0","2","5","1","0","6","0","0","1","0","0","0","8","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-06C","TOMPKINS RECREATION CENTER, Chatham County, Georgia","1507","1445","94","1319","10","4","0","18","62","57","19","4","3","0","8","16","2","0","5","0","0","0","0","0","0","5","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-07C","WOODVILLE-TOMPKINS TECHNICAL INST, Chatham County, Georgia","826","798","49","734","1","0","0","14","28","24","9","1","0","0","6","2","0","0","6","0","0","0","0","0","0","4","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-08C","RESURRECTION OF OUR LORD CATHOLIC CHURCH, Chatham County, Georgia","2104","2036","42","1943","10","0","0","41","68","57","17","4","0","0","3","12","3","1","16","0","0","0","0","1","0","10","3","0","0","1","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-09C","MOSES JACKSON CENTER, Chatham County, Georgia","1695","1627","40","1577","2","3","2","3","68","63","35","3","1","0","1","10","0","1","11","0","0","1","0","0","0","5","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
