plan_id,black_scores,latino_scores
13,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0.867380716849503, 11: 0, 12: 0, 13: 0.6804633164095746, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0.0864312375117627, 11: 0, 12: 0, 13: 0.16881595982755918, 14: 0}"
14,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1615065457403114, 14: 0}"
15,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.7497921374092904, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0.1876657847318835, 6: 0.15832581328181636, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1615065457403114, 14: 0}"
16,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0.7522970978352916, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0, 6: 0.15832581328181636, 7: 0.18120935460627788, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1615065457403114, 14: 0}"
17,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0.7522970978352916, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0, 6: 0.1458311736704433, 7: 0.18120935460627788, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
18,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.09266637866762739, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.1432744151870491, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
19,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14354364950447498, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
20,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14354364950447498, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
21,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
22,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0.1724956651973923, 14: 0}"
